label,climate,shape,flowering,colour,height
Moonshade Vine,temperate,round,False,blue,5.71
Moonshade Vine,temperate,round,False,black,6.71
Moonshade Vine,temperate,round,False,blue,7.81
Moonshade Vine,temperate,round,False,blue,7.39
Moonshade Vine,temperate,round,False,blue,5.16
Moonshade Vine,temperate,round,False,black,7.87
Moonshade Vine,temperate,round,False,black,6.15
Moonshade Vine,temperate,round,False,black,9.08
Moonshade Vine,temperate,round,False,black,6.4
Moonshade Vine,temperate,round,False,black,6.76
Moonshade Vine,temperate,round,False,blue,8.83
Moonshade Vine,temperate,round,False,purple,5.36
Moonshade Vine,temperate,round,False,purple,5.36
Moonshade Vine,temperate,round,False,blue,5.49
Moonshade Vine,temperate,round,False,purple,6.01
Moonshade Vine,temperate,round,False,purple,5.51
Moonshade Vine,temperate,round,False,blue,8.57
Moonshade Vine,temperate,round,False,black,8.77
Moonshade Vine,temperate,round,False,blue,6.1
Moonshade Vine,temperate,round,False,black,8.24
Moonshade Vine,temperate,round,False,blue,8.43
Moonshade Vine,temperate,round,False,blue,7.05
Moonshade Vine,temperate,round,False,blue,8.37
Moonshade Vine,temperate,round,False,purple,6.96
Moonshade Vine,temperate,round,False,purple,7.6
Moonshade Vine,temperate,round,False,black,9.03
Moonshade Vine,temperate,round,False,purple,8.08
Moonshade Vine,temperate,round,False,black,7.25
Moonshade Vine,temperate,round,False,blue,7.68
Moonshade Vine,temperate,round,False,purple,8.41
Moonshade Vine,temperate,round,False,purple,9.22
Moonshade Vine,temperate,round,False,black,6.91
Moonshade Vine,temperate,round,False,purple,7.21
Moonshade Vine,temperate,round,False,purple,7.93
Moonshade Vine,temperate,round,False,blue,8.27
Moonshade Vine,temperate,round,False,black,9.85
Moonshade Vine,temperate,round,False,blue,7.09
Moonshade Vine,temperate,round,False,black,9.3
Moonshade Vine,temperate,round,False,blue,7.88
Moonshade Vine,temperate,round,False,blue,5.64
Moonshade Vine,temperate,round,False,blue,5.89
Moonshade Vine,temperate,round,False,black,8.96
Moonshade Vine,temperate,round,False,blue,7.64
Moonshade Vine,temperate,round,False,purple,6.43
Moonshade Vine,temperate,round,False,black,7.65
Moonshade Vine,temperate,round,False,blue,7.97
Moonshade Vine,temperate,round,False,black,7.14
Moonshade Vine,temperate,round,False,purple,7.0
Moonshade Vine,temperate,round,False,purple,6.19
Moonshade Vine,temperate,round,False,purple,7.15
Moonshade Vine,temperate,round,False,black,9.34
Moonshade Vine,temperate,round,False,black,7.28
Moonshade Vine,temperate,round,False,purple,5.82
Moonshade Vine,temperate,round,False,black,7.93
Moonshade Vine,temperate,round,False,purple,6.44
Moonshade Vine,temperate,round,False,blue,9.42
Moonshade Vine,temperate,round,False,blue,5.7
Moonshade Vine,temperate,round,False,purple,6.1
Moonshade Vine,temperate,round,False,blue,7.77
Moonshade Vine,temperate,round,False,purple,5.79
Moonshade Vine,temperate,round,False,purple,5.27
Moonshade Vine,temperate,round,False,blue,6.04
Moonshade Vine,temperate,round,False,purple,5.14
Moonshade Vine,temperate,round,False,blue,7.18
Moonshade Vine,temperate,round,False,black,7.9
Moonshade Vine,temperate,round,False,purple,7.68
Moonshade Vine,temperate,round,False,black,6.84
Moonshade Vine,temperate,round,False,purple,5.03
Moonshade Vine,temperate,round,False,black,5.24
Moonshade Vine,temperate,round,False,black,9.89
Moonshade Vine,temperate,round,False,blue,9.0
Moonshade Vine,temperate,round,False,purple,9.27
Moonshade Vine,temperate,round,False,blue,7.01
Moonshade Vine,temperate,round,False,black,6.71
Moonshade Vine,temperate,round,False,black,6.01
